satisfaction,important_recognitionAchievements,satisfied_careerAdvance,satisfied_recognitionAchievements,age,gender,ethnicity,country
5,Extremely important,5,5,51-60 years,Male,Asian,India
5,Extremely important,5,5,61-70 years,Male,White,United States
4,Extremely important,5,5,41-50 years,Female,I’d prefer not to say,Egypt
2,Extremely important,4,2,41-50 years,Male,Asian,India
5,Extremely important,4,5,31-40 years,Male,Asian,Saudi Arabia
4,Extremely important,1,2,41-50 years,Male,Asian,Iraq
4,Extremely important,4,4,22-25 years,Male,White,Sweden
2,Extremely important,1,4,41-50 years,Female,I prefer to self-describe,Morocco
2,Extremely important,1,4,41-50 years,Male,Asian,Canada
5,Extremely important,5,5,41-50 years,Female,White,Germany
4,Extremely important,2,2,61-70 years,Male,White,Portugal
4,Extremely important,1,4,51-60 years,Female,White,Italy
4,Extremely important,5,5,51-60 years,Female,White,Spain
1,Extremely important,1,1,51-60 years,Female,White,Turkey
3,Extremely important,4,5,41-50 years,Male,Asian,India
5,Extremely important,5,5,41-50 years,Female,Asian,Thailand
3,Extremely important,1,1,61-70 years,Male,White,Italy
4,Extremely important,2,4,41-50 years,Female,Asian,Nepal
4,Extremely important,2,5,31-40 years,Male,Asian,India
5,Extremely important,5,5,31-40 years,Male,Mixed ethnicity,Cyprus
2,Extremely important,1,2,31-40 years,Male,White,Slovenia
5,Extremely important,4,5,51-60 years,Female,White,Italy
4,Extremely important,4,4,61-70 years,Male,Hispanic / Latino,Venezuela
1,Extremely important,2,4,41-50 years,Male,Hispanic / Latino,Venezuela
4,Extremely important,2,4,41-50 years,Male,Asian,Pakistan
1,Extremely important,1,1,31-40 years,Male,Asian,United States
2,Extremely important,2,4,41-50 years,Male,White,United States
2,Extremely important,4,2,41-50 years,Male,Asian,India
4,Extremely important,2,2,51-60 years,Male,Mixed ethnicity,United Kingdom
2,Extremely important,2,4,31-40 years,Female,Asian,Poland
2,Extremely important,2,1,41-50 years,Female,Asian,Pakistan
4,Extremely important,2,4,41-50 years,Male,Asian,United Kingdom
2,Extremely important,2,4,41-50 years,Male,Asian,"China, Republic of"
2,Extremely important,5,5,26-30 years,Female,Asian,India
4,Extremely important,4,4,51-60 years,Male,White,Slovakia
5,Extremely important,2,4,41-50 years,Male,Asian,India
4,Extremely important,5,5,26-30 years,Male,I’d prefer not to say,United States
5,Extremely important,5,5,31-40 years,Male,White,Greece
4,Extremely important,2,2,51-60 years,Male,Asian,Pakistan
2,Extremely important,1,5,61-70 years,Male,White,Switzerland
3,Extremely important,2,2,31-40 years,Male,Asian,Canada
2,Extremely important,1,2,26-30 years,Male,White,United States
4,Extremely important,2,1,31-40 years,Female,White,Canada
4,Extremely important,4,4,31-40 years,Female,White,Canada
4,Extremely important,2,2,31-40 years,Male,White,United Kingdom
5,Extremely important,4,4,31-40 years,Male,White,United States
1,Extremely important,1,2,41-50 years,Male,Black / African American / Caribbean,Nigeria
2,Extremely important,2,2,51-60 years,Male,White,Argentina
5,Extremely important,4,5,26-30 years,Male,Asian,Germany
4,Extremely important,5,5,26-30 years,Male,White,United States
4,Extremely important,5,4,51-60 years,Male,Asian,Taiwan
4,Extremely important,4,4,31-40 years,Female,Asian,Brunei Darussalam
4,Extremely important,5,5,26-30 years,I’d prefer not to say,I’d prefer not to say,Germany
2,Extremely important,5,1,26-30 years,Male,White,United Kingdom
3,Extremely important,2,1,31-40 years,Female,White,United Kingdom
1,Extremely important,1,1,51-60 years,Female,White,Germany
4,Extremely important,2,4,31-40 years,Male,White,France
5,Extremely important,4,5,51-60 years,Female,White,United Kingdom
4,Extremely important,1,2,31-40 years,Female,White,United Kingdom
5,Extremely important,4,5,41-50 years,Male,Asian,India
1,Extremely important,4,1,41-50 years,Male,Asian,United Kingdom
2,Extremely important,1,1,26-30 years,Male,White,United Kingdom
1,Extremely important,1,1,31-40 years,Female,White,United Kingdom
2,Extremely important,5,4,26-30 years,Male,Black / African American / Caribbean,Nigeria
4,Extremely important,5,4,31-40 years,Male,White,Finland
4,Extremely important,1,2,41-50 years,Female,I prefer to self-describe,United Kingdom
5,Extremely important,4,5,41-50 years,Male,White,United Kingdom
5,Extremely important,4,4,31-40 years,Male,White,Germany
4,Extremely important,5,5,22-25 years,Male,Asian,Pakistan
5,Extremely important,5,5,31-40 years,Female,White,United Kingdom
2,Extremely important,1,1,41-50 years,Female,White,United Kingdom
5,Extremely important,5,5,26-30 years,Female,Asian,Germany
4,Extremely important,2,5,31-40 years,Female,White,United Kingdom
4,Extremely important,4,4,41-50 years,Male,White,Egypt
3,Extremely important,2,1,41-50 years,Male,White,United Kingdom
4,Extremely important,4,4,31-40 years,Male,White,United Kingdom
3,Extremely important,1,2,41-50 years,Male,White,Turkey
2,Extremely important,1,2,41-50 years,Female,White,United Kingdom
5,Extremely important,2,5,51-60 years,Female,White,United Kingdom
2,Extremely important,2,2,26-30 years,Male,Asian,India
5,Extremely important,4,4,31-40 years,Male,Asian,India
2,Extremely important,2,5,26-30 years,Female,White,United Kingdom
